Declaring ID|Declaring Ruler|Declaring Nation|Declaring Alliance|Declaring Alliance ID|Declaring Team|Receiving ID|Receiving Ruler|Receiving Nation|Receiving Alliance|Receiving Alliance ID|Receiving Team|War Status|Begin Date|End Date|Reason|War ID|Destruction|Attack Percent|Defend Percent|
645844|Dario the Great|Darioland|Non Grata|10097|Maroon|641298|Marshal Kendall|Shafar|The Legion|10020|Purple|Active|10/6/2025 4:44:46 AM|10/13/2025 4:44:46 AM|noPM4u|872100|306.73|0|100|
395389|Temporal91|Aikion|NATO|10037|Blue|405801|Morriarty|Farandaway|Random Insanity Alliance|10038|Maroon|Active|10/6/2025 4:24:38 AM|10/13/2025 4:24:38 AM|A general dispute|872099|225.48|0|100|
111283|K L Emall|North Unstunstia|New Pacific Order|10000|Red|202519|Zombie Glaucon|UTC Labs|New Polar Order|10006|Blue|Active|10/6/2025 2:11:35 AM|10/13/2025 2:11:35 AM|Polar War|872098|1,401.24|0|100|
111283|K L Emall|North Unstunstia|New Pacific Order|10000|Red|56087|crusaderoflight88|Pacific Sun|New Polar Order|10006|Blue|Active|10/6/2025 2:11:06 AM|10/13/2025 2:11:06 AM|Looking for baked goods|872097|2,842.69|0|100|
647474|dudekidguy|Republic of Jacob|Nuclear Proliferation League|17228|Aqua|647502|twitchanswers|Twitch|Doombrella|17368|Black|Active|10/6/2025 2:05:00 AM|10/13/2025 2:05:00 AM|A general dispute|872096|61.43|0|100|
639335|Swamplandia|Horna|NATO|10037|Blue|467779|The decimator|My new new nation|Random Insanity Alliance|10038|Maroon|Active|10/6/2025 1:19:18 AM|10/13/2025 1:19:18 AM|A general dispute|872095|630.90|0|100|
510139|AnthraxAnderson|Empire of Armageddon|NATO|10037|Blue|467779|The decimator|My new new nation|Random Insanity Alliance|10038|Maroon|Active|10/6/2025 1:03:01 AM|10/13/2025 1:03:01 AM|Behold the Llamapocalypse!|872094|185.61|0|100|
515467|Nanobreaker|breaker|New Pacific Order|10000|Red|339168|Celess|Celess Mob|New Polar Order|10006|Blue|Active|10/6/2025 12:07:01 AM|10/13/2025 12:07:01 AM|Polar!|872093|100.98|0|100|
433854|Auctor|Wyrdgar|Doombrella|17368|Black|647277|yesyesnono|Rostovan|Nuclear Proliferation League|17228|Blue|Active|10/6/2025 12:01:55 AM|10/13/2025 12:01:55 AM|A general dispute|872092|299.94|5|94|
433854|Auctor|Wyrdgar|Doombrella|17368|Black|646946|Zamla|Zamla|Nuclear Proliferation League|17228|Aqua|Active|10/6/2025 12:00:55 AM|10/13/2025 12:00:55 AM|A general dispute|872091|843.13|0|100|
433854|Auctor|Wyrdgar|Doombrella|17368|Black|646402|MHOF100|DJANDMATT|Nuclear Proliferation League|17228|Aqua|Active|10/6/2025 12:00:37 AM|10/13/2025 12:00:37 AM|A general dispute|872090|578.02|0|100|
310672|King Wally|Rep of Queensland|Nuclear Proliferation League|17228|Aqua|645768|Sitthemdown|Emperor Protects|Doombrella|17368|Black|Active|10/6/2025 12:00:35 AM|10/13/2025 12:00:35 AM|War never changes|872089|147.76|0|100|
310672|King Wally|Rep of Queensland|Nuclear Proliferation League|17228|Aqua|645427|Clank|Clank|Doombrella|17368|Black|Active|10/6/2025 12:00:22 AM|10/13/2025 12:00:22 AM|Justice through fallout|872088|230.11|0|100|
113773|Njero|Njebooro|NATO|10037|Blue|467779|The decimator|My new new nation|Random Insanity Alliance|10038|Maroon|Active|10/5/2025 10:36:15 PM|10/12/2025 10:36:15 PM|Fighting Teeth!|872087|886.24|0|100|
538259|The Big Bad|Empire of the North|Non Grata|10097|Maroon|646453|Fortune|Protea|The Legion|10020|Purple|Active|10/5/2025 10:33:40 PM|10/12/2025 10:33:40 PM|A general dispute|872086|419.81|0|100|
113773|Njero|Njebooro|NATO|10037|Blue|233528|rodrod|Mongol|Random Insanity Alliance|10038|Maroon|Active|10/5/2025 10:33:21 PM|10/12/2025 10:33:21 PM|L. Glama in da house!|872085|172.29|66|33|
538259|The Big Bad|Empire of the North|Non Grata|10097|Maroon|638515|silkhyacinth|Taiat|The Legion|10020|Purple|Active|10/5/2025 10:10:22 PM|10/12/2025 10:10:22 PM|A general dispute|872084|634.95|0|100|
643887|SilenttShadow27|Temnota|NATO|10037|Blue|405801|Morriarty|Farandaway|Random Insanity Alliance|10038|Maroon|Active|10/5/2025 8:28:15 PM|10/12/2025 8:28:15 PM|Llama Liberation!! |872083|172.86|0|100|
426984|Tegatus|Elysian Island|Independent Republic Of Orange Nations|10004|Orange|418644|shakespeare|shakespeare|Freehold of The Wolves|15157|White|Active|10/5/2025 8:15:23 PM|10/12/2025 8:15:23 PM|When they say jump, I say...|872082|1,584.83|0|100|
